parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zdpy30 ,445,zLE8_TOTALSCOREinv,,0.2,0.00590144,28462,34.715303,1.00E-258,0.19,0.22,0.05,0.00003418,1,1.25E-257,1,1,257.9366
1, zcstb ,373,zLE8_TOTALSCOREinv,,0.2,0.00589969,27964,34.630645,2.00E-257,0.19,0.22,0.05,0.00003418,1,2.58E-256,1,1,256.6199
1, zproc ,1104,zLE8_TOTALSCOREinv,,0.2,0.0058501,28404,34.582648,1.00E-256,0.19,0.21,0.05,0.00003418,1,1.05E-255,1,1,256.0091
1, ztimp1 ,1355,zLE8_TOTALSCOREinv,,0.2,0.00585682,28033,34.474195,4.00E-255,0.19,0.21,0.05,0.00003418,1,4.43E-254,1,1,254.3792
1, zcdhr5 ,261,zLE8_TOTALSCOREinv,,0.2,0.00593142,28318,34.430136,2.00E-254,0.19,0.22,0.05,0.00003418,1,1.68E-253,1,1,253.7982
1, zpcsk9 ,1029,zLE8_TOTALSCOREinv,,0.2,0.00581148,28672,34.419086,2.00E-254,0.19,0.21,0.05,0.00003418,1,2.07E-253,1,1,253.7025
1, ztrem2 ,1401,zLE8_TOTALSCOREinv,,0.2,0.00571764,28325,34.399334,4.00E-254,0.19,0.21,0.05,0.00003418,1,4.56E-253,1,0,253.3572
1, zhao1 ,635,zLE8_TOTALSCOREinv,,0.2,0.00582322,28543,34.366309,1.00E-253,0.19,0.21,0.05,0.00003418,1,1.23E-252,1,1,252.9221
1, zccdc80 ,171,zLE8_TOTALSCOREinv,,0.19,0.00560999,28318,34.294978,1.00E-252,0.18,0.2,0.05,0.00003418,1,1.41E-251,1,0,251.8603
1, zlsp1 ,852,zLE8_TOTALSCOREinv,,0.2,0.00590813,28258,34.254611,5.00E-252,0.19,0.21,0.05,0.00003418,1,5.43E-251,1,1,251.2722
1, zifnlr1 ,682,zLE8_TOTALSCOREinv,,0.2,0.00592951,28258,34.201855,3.00E-251,0.19,0.21,0.05,0.00003418,1,3.06E-250,1,1,250.5185
1, zccl7 ,193,zLE8_TOTALSCOREinv,,0.2,0.00586109,28258,34.179222,6.00E-251,0.19,0.21,0.05,0.00003418,1,6.39E-250,1,1,250.1955
1, zigsf8 ,693,zLE8_TOTALSCOREinv,,0.2,0.00588383,28318,34.004856,2.00E-248,0.19,0.21,0.05,0.00003418,1,1.88E-247,1,1,247.7241
1, zlamp3 ,813,zLE8_TOTALSCOREinv,,0.19,0.00568641,28579,33.839841,4.00E-246,0.18,0.2,0.05,0.00003418,1,3.68E-245,1,0,245.4296
1, zcxcl16 ,395,zLE8_TOTALSCOREinv,,0.2,0.00580838,28626,33.812021,9.00E-246,0.19,0.21,0.05,0.00003418,1,8.87E-245,1,0,245.044
1, zcalb2 ,156,zLE8_TOTALSCOREinv,,0.2,0.0058567,27666,33.787105,3.00E-245,0.19,0.21,0.05,0.00003418,1,2.88E-244,1,0,244.5291
1, zhspg2 ,664,zLE8_TOTALSCOREinv,,0.2,0.00583099,28132,33.775479,4.00E-245,0.19,0.21,0.05,0.00003418,1,3.47E-244,1,0,244.4455
1, zfabp5 ,509,zLE8_TOTALSCOREinv,,0.2,0.00592371,28458,33.721916,2.00E-244,0.19,0.21,0.05,0.00003418,1,1.73E-243,1,0,243.7446
1, zctsz ,386,zLE8_TOTALSCOREinv,,0.2,0.00585079,28363,33.61881,5.00E-243,0.19,0.21,0.05,0.00003418,1,5.04E-242,1,0,242.2779
1, zthop1 ,1348,zLE8_TOTALSCOREinv,,0.2,0.00588209,28190,33.411849,4.00E-240,0.19,0.21,0.05,0.00003418,1,4.25E-239,1,0,239.3498
